// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="C:\Users\ayman\source\repos\BenchmarkNET9\bin\release\net9.0\fcc0f06f-3159-4ca4-b2c2-ff82eb7716a4\obj\Release\net9.0/" /p:OutDir="C:\Users\ayman\source\repos\BenchmarkNET9\bin\release\net9.0\fcc0f06f-3159-4ca4-b2c2-ff82eb7716a4\bin\Release\net9.0/" /p:OutputPath="C:\Users\ayman\source\repos\BenchmarkNET9\bin\release\net9.0\fcc0f06f-3159-4ca4-b2c2-ff82eb7716a4\bin\Release\net9.0/" in C:\Users\ayman\source\repos\BenchmarkNET9\bin\release\net9.0\fcc0f06f-3159-4ca4-b2c2-ff82eb7716a4
// command took 2.55 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="C:\Users\ayman\source\repos\BenchmarkNET9\bin\release\net9.0\fcc0f06f-3159-4ca4-b2c2-ff82eb7716a4\obj\Release\net9.0/" /p:OutDir="C:\Users\ayman\source\repos\BenchmarkNET9\bin\release\net9.0\fcc0f06f-3159-4ca4-b2c2-ff82eb7716a4\bin\Release\net9.0/" /p:OutputPath="C:\Users\ayman\source\repos\BenchmarkNET9\bin\release\net9.0\fcc0f06f-3159-4ca4-b2c2-ff82eb7716a4\bin\Release\net9.0/" --output "C:\Users\ayman\source\repos\BenchmarkNET9\bin\release\net9.0\fcc0f06f-3159-4ca4-b2c2-ff82eb7716a4\bin\Release\net9.0/" in C:\Users\ayman\source\repos\BenchmarkNET9\bin\release\net9.0\fcc0f06f-3159-4ca4-b2c2-ff82eb7716a4
// command took 9.76 sec and exited with 0
// ***** Done, took 00:00:12 (12.45 sec)   *****
// Found 6 benchmarks:
//   IterationBenchmark.IEnumerableForeach: DefaultJob [CollectionSize=100]
//   IterationBenchmark.IEnumeratorManual: DefaultJob [CollectionSize=100]
//   IterationBenchmark.IEnumerableForeach: DefaultJob [CollectionSize=1000]
//   IterationBenchmark.IEnumeratorManual: DefaultJob [CollectionSize=1000]
//   IterationBenchmark.IEnumerableForeach: DefaultJob [CollectionSize=10000]
//   IterationBenchmark.IEnumeratorManual: DefaultJob [CollectionSize=10000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: IterationBenchmark.IEnumerableForeach: DefaultJob [CollectionSize=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet fcc0f06f-3159-4ca4-b2c2-ff82eb7716a4.dll --anonymousPipes 628 620 --benchmarkName "BenchmarkNET9.IterationBenchmark.IEnumerableForeach(CollectionSize: 100)" --job Default --benchmarkId 0 in C:\Users\ayman\source\repos\BenchmarkNET9\bin\release\net9.0\fcc0f06f-3159-4ca4-b2c2-ff82eb7716a4\bin\Release\net9.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 9.0.2 (9.0.225.6610), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 276300.00 ns, 276.3000 us/op
WorkloadJitting  1: 1 op, 518600.00 ns, 518.6000 us/op

OverheadJitting  2: 16 op, 266100.00 ns, 16.6313 us/op
WorkloadJitting  2: 16 op, 270800.00 ns, 16.9250 us/op

WorkloadPilot    1: 16 op, 41500.00 ns, 2.5938 us/op
WorkloadPilot    2: 32 op, 82000.00 ns, 2.5625 us/op
WorkloadPilot    3: 64 op, 197400.00 ns, 3.0844 us/op
WorkloadPilot    4: 128 op, 320100.00 ns, 2.5008 us/op
WorkloadPilot    5: 256 op, 588400.00 ns, 2.2984 us/op
WorkloadPilot    6: 512 op, 1124800.00 ns, 2.1969 us/op
WorkloadPilot    7: 1024 op, 2259900.00 ns, 2.2069 us/op
WorkloadPilot    8: 2048 op, 5542900.00 ns, 2.7065 us/op
WorkloadPilot    9: 4096 op, 9731000.00 ns, 2.3757 us/op
WorkloadPilot   10: 8192 op, 20280200.00 ns, 2.4756 us/op
WorkloadPilot   11: 16384 op, 38310500.00 ns, 2.3383 us/op
WorkloadPilot   12: 32768 op, 75204300.00 ns, 2.2951 us/op
WorkloadPilot   13: 65536 op, 173088300.00 ns, 2.6411 us/op
WorkloadPilot   14: 131072 op, 109228100.00 ns, 833.3443 ns/op
WorkloadPilot   15: 262144 op, 184402100.00 ns, 703.4382 ns/op
WorkloadPilot   16: 524288 op, 361669900.00 ns, 689.8306 ns/op
WorkloadPilot   17: 1048576 op, 751384600.00 ns, 716.5762 ns/op

OverheadWarmup   1: 1048576 op, 3288200.00 ns, 3.1359 ns/op
OverheadWarmup   2: 1048576 op, 3325400.00 ns, 3.1713 ns/op
OverheadWarmup   3: 1048576 op, 3424000.00 ns, 3.2654 ns/op
OverheadWarmup   4: 1048576 op, 3216400.00 ns, 3.0674 ns/op
OverheadWarmup   5: 1048576 op, 3172700.00 ns, 3.0257 ns/op
OverheadWarmup   6: 1048576 op, 3429100.00 ns, 3.2702 ns/op
OverheadWarmup   7: 1048576 op, 3154100.00 ns, 3.0080 ns/op

OverheadActual   1: 1048576 op, 3625200.00 ns, 3.4573 ns/op
OverheadActual   2: 1048576 op, 3781700.00 ns, 3.6065 ns/op
OverheadActual   3: 1048576 op, 3672600.00 ns, 3.5025 ns/op
OverheadActual   4: 1048576 op, 3827100.00 ns, 3.6498 ns/op
OverheadActual   5: 1048576 op, 3800600.00 ns, 3.6245 ns/op
OverheadActual   6: 1048576 op, 3921500.00 ns, 3.7398 ns/op
OverheadActual   7: 1048576 op, 3634300.00 ns, 3.4659 ns/op
OverheadActual   8: 1048576 op, 4257000.00 ns, 4.0598 ns/op
OverheadActual   9: 1048576 op, 3657700.00 ns, 3.4883 ns/op
OverheadActual  10: 1048576 op, 3447600.00 ns, 3.2879 ns/op
OverheadActual  11: 1048576 op, 3927800.00 ns, 3.7458 ns/op
OverheadActual  12: 1048576 op, 3375900.00 ns, 3.2195 ns/op
OverheadActual  13: 1048576 op, 3520500.00 ns, 3.3574 ns/op
OverheadActual  14: 1048576 op, 4050200.00 ns, 3.8626 ns/op
OverheadActual  15: 1048576 op, 4018800.00 ns, 3.8326 ns/op
OverheadActual  16: 1048576 op, 4999100.00 ns, 4.7675 ns/op
OverheadActual  17: 1048576 op, 3570000.00 ns, 3.4046 ns/op
OverheadActual  18: 1048576 op, 3531100.00 ns, 3.3675 ns/op
OverheadActual  19: 1048576 op, 4409100.00 ns, 4.2048 ns/op
OverheadActual  20: 1048576 op, 3711200.00 ns, 3.5393 ns/op

WorkloadWarmup   1: 1048576 op, 769143300.00 ns, 733.5122 ns/op
WorkloadWarmup   2: 1048576 op, 741570600.00 ns, 707.2168 ns/op
WorkloadWarmup   3: 1048576 op, 726817400.00 ns, 693.1471 ns/op
WorkloadWarmup   4: 1048576 op, 716391100.00 ns, 683.2038 ns/op
WorkloadWarmup   5: 1048576 op, 680963400.00 ns, 649.4173 ns/op
WorkloadWarmup   6: 1048576 op, 626586400.00 ns, 597.5594 ns/op
WorkloadWarmup   7: 1048576 op, 615278800.00 ns, 586.7756 ns/op
WorkloadWarmup   8: 1048576 op, 661753900.00 ns, 631.0977 ns/op
WorkloadWarmup   9: 1048576 op, 665619400.00 ns, 634.7841 ns/op
WorkloadWarmup  10: 1048576 op, 631878800.00 ns, 602.6066 ns/op
WorkloadWarmup  11: 1048576 op, 619183400.00 ns, 590.4993 ns/op
WorkloadWarmup  12: 1048576 op, 605839700.00 ns, 577.7738 ns/op
WorkloadWarmup  13: 1048576 op, 679970900.00 ns, 648.4708 ns/op
WorkloadWarmup  14: 1048576 op, 707041600.00 ns, 674.2874 ns/op
WorkloadWarmup  15: 1048576 op, 718018100.00 ns, 684.7554 ns/op
WorkloadWarmup  16: 1048576 op, 795283700.00 ns, 758.4416 ns/op
WorkloadWarmup  17: 1048576 op, 774784100.00 ns, 738.8917 ns/op

// BeforeActualRun
WorkloadActual   1: 1048576 op, 707026500.00 ns, 674.2730 ns/op
WorkloadActual   2: 1048576 op, 708981900.00 ns, 676.1378 ns/op
WorkloadActual   3: 1048576 op, 632528500.00 ns, 603.2262 ns/op
WorkloadActual   4: 1048576 op, 613986500.00 ns, 585.5432 ns/op
WorkloadActual   5: 1048576 op, 607090600.00 ns, 578.9667 ns/op
WorkloadActual   6: 1048576 op, 612473600.00 ns, 584.1003 ns/op
WorkloadActual   7: 1048576 op, 604813600.00 ns, 576.7952 ns/op
WorkloadActual   8: 1048576 op, 690194600.00 ns, 658.2209 ns/op
WorkloadActual   9: 1048576 op, 630252300.00 ns, 601.0554 ns/op
WorkloadActual  10: 1048576 op, 602655400.00 ns, 574.7370 ns/op
WorkloadActual  11: 1048576 op, 667813700.00 ns, 636.8768 ns/op
WorkloadActual  12: 1048576 op, 723161400.00 ns, 689.6605 ns/op
WorkloadActual  13: 1048576 op, 709653700.00 ns, 676.7785 ns/op
WorkloadActual  14: 1048576 op, 703932100.00 ns, 671.3220 ns/op
WorkloadActual  15: 1048576 op, 723466000.00 ns, 689.9509 ns/op
WorkloadActual  16: 1048576 op, 728425700.00 ns, 694.6809 ns/op
WorkloadActual  17: 1048576 op, 757995000.00 ns, 722.8804 ns/op
WorkloadActual  18: 1048576 op, 671171000.00 ns, 640.0785 ns/op
WorkloadActual  19: 1048576 op, 623421600.00 ns, 594.5412 ns/op
WorkloadActual  20: 1048576 op, 601918700.00 ns, 574.0344 ns/op
WorkloadActual  21: 1048576 op, 605143700.00 ns, 577.1100 ns/op
WorkloadActual  22: 1048576 op, 607759200.00 ns, 579.6043 ns/op
WorkloadActual  23: 1048576 op, 619932300.00 ns, 591.2135 ns/op
WorkloadActual  24: 1048576 op, 613891800.00 ns, 585.4528 ns/op
WorkloadActual  25: 1048576 op, 652209200.00 ns, 621.9952 ns/op
WorkloadActual  26: 1048576 op, 663920300.00 ns, 633.1637 ns/op
WorkloadActual  27: 1048576 op, 705257200.00 ns, 672.5857 ns/op
WorkloadActual  28: 1048576 op, 710354500.00 ns, 677.4468 ns/op
WorkloadActual  29: 1048576 op, 713603300.00 ns, 680.5451 ns/op
WorkloadActual  30: 1048576 op, 745239700.00 ns, 710.7160 ns/op
